RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,subsidies_package,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,IncomeDistribution,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
3,0,63,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,64,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,65,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,66,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,67,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,68,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,69,1000,80,harvey,watts_strogatz,3,612,0.0,45326628.353223264,7041038,7785277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,70,1000,80,harvey,watts_strogatz,3,612,0.0,45326628.353223264,7041038,7785277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,71,1000,80,harvey,watts_strogatz,3,612,0.0,45326628.353223264,7041038,7785277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,72,1000,80,harvey,watts_strogatz,3,612,0.0,45326628.353223264,7041038,7785277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,73,1000,80,harvey,watts_strogatz,3,613,42859768.350222625,45250491.2915088,7080038,7822327,Base,22660.926586556747,40425.06934369712,104850.2921340498,4.469898791364432,1.3690853086971295,1.1834610601043238
4,1,0,1000,80,harvey,watts_strogatz,0,0,0.0,78680583.38766086,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
