RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
81,27,47,1000,80,harvey,watts_strogatz,621,46198188.94744318,48872211.847939834,3460055,0,26120.37272021741,46590.40900719855,90532.62241716983,4.983587650268265,1.592585363187543,1.0229887838274037
82,27,42,1000,80,100yr,watts_strogatz,331,16706369.291572785,17942653.227372617,1663175,0,7887.138599627434,13914.978790603489,52380.22896972843,1.5867229644544654,0.4756937875110102,0.6068025711579111
83,27,52,1000,80,500yr,watts_strogatz,341,21726980.06980252,22894130.49161202,1714515,0,12335.341146150573,20840.086931892794,48761.25839907086,2.3311731064558763,0.7036463931652063,0.5522496946803293
84,28,66,1000,80,harvey,watts_strogatz,625,49632419.963073105,52477608.62448279,4574275,0,21686.96453320995,45697.44933855309,142392.99771898013,4.279340319599154,1.5249468588032153,1.6393263206805144
85,28,64,1000,80,100yr,watts_strogatz,302,12934349.071415043,13766423.719261725,1556490,0,6868.267090517788,14806.953308073607,17073.352927590433,1.3700810209730354,0.5024433801101286,0.19656002547879745
88,29,35,1000,80,100yr,watts_strogatz,328,12658539.748949293,13575185.883718455,1486830,0,7625.024331191522,14005.945760356488,17468.54087341977,1.5317741296033593,0.4764790576247133,0.20424106519875437
87,29,56,1000,80,harvey,watts_strogatz,610,48575616.660920605,51581868.70525121,4132485,0,25561.77626187481,48255.3930780407,109080.86593883969,5.046452323147488,1.6308840930365218,1.2793242012023422
86,28,75,1000,80,500yr,watts_strogatz,373,20412237.17462163,22004138.77404384,2085570,0,9179.932757849449,19427.997808856944,61123.82063986435,1.7715807992314192,0.6629189295527432,0.6859278799430976
89,29,42,1000,80,500yr,watts_strogatz,443,20404696.9660157,21908458.75082354,2028525,0,11954.915178801723,20259.485144239035,44609.67569269857,2.442523992802404,0.6805651721492464,0.5003181647506018
91,30,19,1000,80,100yr,watts_strogatz,261,16186401.772705367,17482931.259291008,1037380,0,7924.489554438082,17581.595562556187,30944.6599749744,1.5602160539944265,0.5967319813962173,0.3623869739229141
94,31,3,1000,80,100yr,watts_strogatz,205,20853823.827133592,22516737.701481264,855040,0,15682.792976899766,18750.238311373374,46559.092279428456,3.2031637355059908,0.6313998374339614,0.5381539262792504
